Ampara_2010_01	25.21,238
Ampara_2010_02	25.78,86
Ampara_2010_03	27.44,94
Ampara_2010_04	28.3,152
Ampara_2010_05	28.64,134
Ampara_2010_06	28.84,84
Ampara_2010_07	28.87,57
Ampara_2010_08	28.6,117
Ampara_2010_09	27.63,168
Ampara_2010_10	27.25,153
Ampara_2010_11	25.64,367
Ampara_2010_12	24.53,451
Ampara_2011_01	24.04,463
Ampara_2011_02	24.86,283
Ampara_2011_03	25.95,183
Ampara_2011_04	27.02,166
Ampara_2011_05	28.57,66
Ampara_2011_06	29.55,27
Ampara_2011_07	28.95,55
Ampara_2011_08	28.52,85
Ampara_2011_09	28.57,69
Ampara_2011_10	26.65,344
Ampara_2011_11	25.64,327
Ampara_2011_12	25.13,338
Ampara_2012_01	24.73,178
Ampara_2012_02	25.23,222
Ampara_2012_03	27.02,62
Ampara_2012_04	27.3,138
Ampara_2012_05	29.68,25
Ampara_2012_06	29.89,26
Ampara_2012_07	29.54,33
Ampara_2012_08	29.29,63
Ampara_2012_09	28.71,77
Ampara_2012_10	26.73,298
Ampara_2012_11	25.74,253
Ampara_2012_12	24.95,367
Ampara_2013_01	24.89,245
Ampara_2013_02	25.45,201
Ampara_2013_03	26.49,225
Ampara_2013_04	28.36,80
Ampara_2013_05	28.77,84
Ampara_2013_06	28.81,47
Ampara_2013_07	28.79,43
Ampara_2013_08	28.93,58
Ampara_2013_09	28.41,72
Ampara_2013_10	27.85,148
Ampara_2013_11	25.83,235
Ampara_2013_12	24.76,336
Ampara_2014_01	24.59,318
Ampara_2014_02	25.29,126
Ampara_2014_03	26.53,118
Ampara_2014_04	27.94,96
Ampara_2014_05	28.22,121
Ampara_2014_06	29.92,31
Ampara_2014_07	30.26,20
Ampara_2014_08	28.63,86
Ampara_2014_09	28.07,104
Ampara_2014_10	26.48,299
Ampara_2014_11	25.61,342
Ampara_2014_12	24.83,489
Ampara_2015_01	25.13,144
Ampara_2015_02	24.87,297
Ampara_2015_03	26.07,179
Ampara_2015_04	27.2,176
Ampara_2015_05	28.12,117
Ampara_2015_06	28.8,79
Ampara_2015_07	29.38,40
Ampara_2015_08	28.89,66
Ampara_2015_09	28.06,101
Ampara_2015_10	26.54,323
Ampara_2015_11	25.77,348
Ampara_2015_12	25.57,440
Ampara_2016_01	25.63,176
Ampara_2016_02	26.28,173
Ampara_2016_03	27.33,135
Ampara_2016_04	28.88,95
Ampara_2016_05	28.27,193
Ampara_2016_06	29.27,35
Ampara_2016_07	29.35,72
Ampara_2016_08	29.39,41
Ampara_2016_09	29.4,29
Ampara_2016_10	28.8,123
